x_value,y_value,z_value
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,-inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
-inf,inf,2.5
inf,inf,2.0
321.93642540769673,522.7242648594168,2.0
inf,inf,2.0
337.74625607147846,489.76324382803875,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
inf,inf,2.0
451.2734289686676,424.1468947705114,2.0
449.9805627946913,411.2331663268701,2.0
448.66360375589215,399.3338442657864,2.0
443.4178659493053,385.96136072789983,2.0
442.24234050118685,376.0301150015887,2.0
441.08334910799636,366.72745459286034,2.0
439.95186858626664,357.96996204788877,2.0
438.8573801542765,349.683965065946,2.0
441.1279969757963,342.81070984675483,2.0
440.0302783546963,335.07575875981024,2.0
438.99799765472625,327.64842077453375,2.0
438.03735961639717,320.47590805588425,2.0
437.15440456618336,313.5085297823396,2.0
479.7730234316851,308.8316823147313,2.0
541.9253826141357,300.0,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
308.85642439563566,297.31343303096475,2.0
308.50664149289247,296.95627500467157,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,-inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
-inf,inf,2.0
314.5742105529473,596.6648710702658,1.5
321.9787604151445,523.1540994033949,1.5
343.86725057024887,595.7289818757465,1.5
338.09675689911495,491.5253304808384,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
inf,inf,1.5
451.2499528277991,424.1276283996101,1.5
449.9683374603308,411.22409940096327,1.5
448.6618434041968,399.3326680363884,1.5
443.43451621200114,385.97134051129945,1.5
442.26724445534694,376.04342644241643,1.5
441.1159498494967,366.74287359525795,1.5
439.9916757888717,357.9864507310879,1.5
438.90390172068385,349.700610748571,1.5
441.1752792698735,342.8250527738565,1.5
440.08395230232657,335.08920338379363,1.5
439.05754201865454,327.66026488492685,1.5
438.10249337125185,320.4855697357327,1.5
437.22485967690926,313.5154690050687,1.5
480.2705989783648,308.856126633862,1.5
542.6226425170898,300.0,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
308.8776921878,297.3069815167441,1.5
308.5211247650052,296.9510928070463,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
inf,-inf,1.5
312.42833538129753,269.9953441647501,1.5
310.65846094487836,270.2115972161631,1.5
308.97417307163005,270.41611609228477,1.5
307.3607534931038,270.61422483836236,1.5
305.8072386304032,270.80503989317515,1.5
304.3032519633075,270.989831700854,1.5
302.8399089759747,271.1659202816293,1.5
301.40796654771606,271.3401825209011,1.5
300.0,271.51156067848206,1.5
298.6087741258152,271.6809467589878,1.5
297.22738739292566,271.8491917815418,1.5
295.84943243652003,272.0191463153407,1.5
294.4677619239049,272.1875610402046,1.5
293.07586614523467,272.35730814299825,1.5
291.66683617621254,272.5292403902656,1.5
290.23352101868704,272.7045198007667,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,-inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
-inf,inf,1.5
299.99999999999994,597.022647857666,1.5
308.8455367862604,480.0550376783574,1.0
317.70851221648076,479.7975418449824,1.0
326.63197026755734,479.5381600211648,1.0
335.66016608046937,479.2757612321102,1.0
344.8394650660174,479.0091788880826,1.0
354.2074900942682,478.6981464562026,1.0
363.8395229674651,478.4195141791706,1.0
373.78497414663224,478.13268528414767,1.0
384.1101443160371,477.83595862404,1.0
394.890423869366,477.5274965985027,1.0
395.9470496294261,460.0779813798158,1.0
405.2361157002919,457.49697719758905,1.0
414.83045213731833,454.83094122228135,1.0
424.7941195968464,452.06207470140487,1.0
438.83241611203175,453.1779662999078,1.0
442.47430926778327,442.47430926778327,1.0
445.9475918183124,432.2791866696895,1.0
449.27946088328446,422.51048745324823,1.0
450.3205971415575,411.4853529859747,1.0
449.02133576663266,399.5728731534631,1.0
443.7996440803157,386.19018973341167,1.0
442.6378011633458,376.2414931293431,1.0
441.4913821094086,366.9204398299296,1.0
440.37157553617715,358.143810358764,1.0
439.2878864736388,349.8380026900759,1.0
441.56554299941797,342.9434379819461,1.0
440.4779729183972,335.18790041016587,1.0
439.4550750081795,327.7393391129848,1.0
438.5031161971146,320.5449965182375,1.0
437.62869886178726,313.555243693118,1.0
481.20779841580645,308.90216828982926,1.0
491.27689361572266,300.0,1.0
494.53283583617883,290.4432145986476,1.0
497.9134883637442,280.50722278774305,1.0
501.4430960028989,270.1187394216279,1.0
505.2251922260094,259.17817116837915,1.0
497.84264276302315,250.44299781807595,1.0
308.9206273239406,297.2939572855856,1.0
308.55632993344614,296.93849619635824,1.0
477.5904112701735,226.43964310447842,1.0
471.30467615561304,218.9789222329253,1.0
465.28261091032834,211.65460388940784,1.0
459.2846828651975,204.52843520176026,1.0
453.3820956383488,197.51336025516042,1.0
447.54421681429477,190.57375100039866,1.0
441.7416623979209,183.67562389323015,1.0
435.86316175486377,176.86080796948875,1.0
430.04931043083945,169.95068956916052,1.0
424.1851629583905,162.9827871666614,1.0
310.81589037896424,286.820799440859,1.0
310.25646781278823,286.1707540507545,1.0
309.6851284961239,285.5051808805452,1.0
309.09719676487117,284.8222441444521,1.0
308.48949024005935,284.1172808776786,1.0
307.85763386676683,283.38642903806357,1.0
307.3872961690752,282.16548939935177,1.0
306.3350629533886,282.29468514333826,1.0
305.3335356867747,282.4176891490974,1.0
304.37463099059084,282.5354941141456,1.0
303.4513365115079,282.6489596550804,1.0
302.55748317842045,282.7588488750293,1.0
301.6875780600892,282.86573241352374,1.0
300.83660945444313,282.97042333532494,1.0
300.0,283.07338893413544,1.0
299.1734483387751,283.17515441955675,1.0
298.3528523066888,283.2762288162545,1.0
297.5342398102517,283.3771950376445,1.0
296.71363961097853,283.4783506309142,1.0
295.88707514986106,283.5802835924164,1.0
295.05044438324103,283.6835018009764,1.0
294.1992265916284,283.78792438795995,1.0
293.32868260964636,283.8940150773128,1.0
292.4343768703792,284.00383386825564,1.0
291.51054347686267,284.117343957603,1.0
290.55160789134095,284.2363101118717,1.0
289.55036908667364,284.3610221573883,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
69.98756138434769,111.23367000135516,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
-inf,-inf,1.0
217.61686659720357,279.3640993428987,1.0
220.40775445842866,284.168118014263,1.0
220.61823980840944,288.22482820944816,1.0
216.95077130251298,291.8203649178544,1.0
-inf,-inf,1.0
